wl,"UVS(355,A1)","SWS(445,A1)","MWS(530,A1)","LWS(580,A1)","LWS(600,A1)","LWS(620,A1)","LWS(640,A1)","LWS(660,A1)"
565,2.06866E-09,0.000914897,0.7066038,0.958164097,0.814064299,0.631225397,0.455405471,0.311894434
570,1.40881E-09,0.000571024,0.631100034,0.980865433,0.858103055,0.681719861,0.502097102,0.34913326
575,9.65869E-10,0.000358454,0.554347933,0.995114668,0.897848132,0.7312467,0.550227121,0.389105378
580,6.66514E-10,0.000226422,0.478861078,1,0.932377037,0.77902088,0.599210175,0.431504564
585,4.62866E-10,0.00014396,0.406730077,0.994763796,0.960760411,0.824240815,0.648412478,0.47595395
590,3.23433E-10,9.21451E-05,0.339548213,0.978895375,0.982074554,0.866092002,0.697163321,0.522010873
595,2.27368E-10,5.93809E-05,0.278423632,0.952233104,0.995427079,0.90374846,0.744765282,0.569174328
600,1.60778E-10,3.85272E-05,0.224042602,0.915056673,1,0.936374201,0.790502102,0.616894215
605,1.14343E-10,2.51663E-05,0.176743921,0.868145182,0.995111997,0.963127971,0.833643747,0.664581334
610,8.17751E-11,1.65491E-05,0.136575926,0.812778202,0.980297145,0.983175229,0.8734489,0.711616969
615,5.88029E-11,1.09544E-05,0.103328452,0.750667286,0.955391353,0.995711446,0.909166008,0.757361059
620,4.25096E-11,7.29826E-06,0.076552852,0.683822681,0.920611454,1,0.940034864,0.801158222
625,3.08908E-11,4.89346E-06,0.055592794,0.614378418,0.876607746,0.995425864,0.965291456,0.842341434
630,2.25617E-11,3.3016E-06,0.039641345,0.544410697,0.824471462,0.981562748,0.984179335,0.880233746
635,1.65602E-11,2.24126E-06,0.027821428,0.475784709,0.765685863,0.95824665,0.99597074,0.914149112
640,1.22139E-11,1.5306E-06,0.019271062,0.410053997,0.702022453,0.925643888,1,0.9433941
645,9.05099E-12,1.05143E-06,0.013212113,0.348419506,0.635398217,0.884298378,0.995710005,0.967272773
650,6.73812E-12,7.26431E-07,0.008990381,0.29173933,0.567720293,0.835143087,0.982709733,0.985097411
655,5.03893E-12,5.04716E-07,0.006087075,0.240569913,0.500746892,0.779465698,0.960837139,0.996207654
660,3.78486E-12,3.52604E-07,0.004109614,0.195216909,0.435986759,0.71882797,0.93021789,1
665,2.85516E-12,2.47664E-07,0.002771625,0.155778414,0.374647262,0.654949547,0.891307748,0.995968183
670,2.16291E-12,1.74872E-07,0.001869982,0.122172653,0.317628031,0.589576056,0.844906359,0.983752687
675,1.64526E-12,1.24112E-07,0.001263588,0.094152951,0.265547275,0.524354733,0.792133712,0.96319476
680,1.25654E-12,8.8531E-08,0.000855895,0.071320675,0.218783571,0.460737446,0.734367646,0.934387298
685,9.63442E-13,6.34622E-08,0.000581529,0.053148002,0.177517196,0.399922407,0.673149488,0.897712775
690,7.41562E-13,4.57117E-08,0.000396528,0.039016315,0.141760757,0.342835471,0.610072625,0.853858204
695,5.72935E-13,3.30817E-08,0.000271446,0.028266693,0.111376993,0.290143164,0.546672563,0.803799606
700,4.44287E-13,2.40522E-08,0.000186599,0.020252152,0.086089284,0.242284499,0.484335693,0.748753709
705,3.45771E-13,1.75664E-08,0.000128834,0.014380574,0.065494494,0.199507889,0.424238163,0.690101455
710,2.70052E-13,1.28864E-08,8.93491E-05,0.010141708,0.049086386,0.161902508,0.367318283,0.629294237
715,2.11644E-13,9.49429E-09,6.22472E-05,0.007117525,0.036291765,0.129419026,0.314278357,0.567757571
720,1.66432E-13,7.02482E-09,4.35642E-05,0.004979516,0.026514466,0.101881078,0.265606702,0.506806839
725,1.31312E-13,5.21929E-09,3.06282E-05,0.003478042,0.019178282,0.078993835,0.221608676,0.447585936
730,1.03941E-13,3.89364E-09,2.16314E-05,0.002428361,0.013760661,0.060357501,0.182436708,0.391033713
735,8.25364E-14,2.91629E-09,1.53464E-05,0.00169654,0.009812888,0.045490884,0.148112901,0.337876834
740,6.57445E-14,2.19281E-09,1.09361E-05,0.001186971,0.00696698,0.033864783,0.11854266,0.288642821
745,5.2529E-14,1.65514E-09,7.82773E-06,0.000832183,0.00493241,0.024939919,0.093522542,0.243684552
750,4.20958E-14,1.25399E-09,5.62723E-06,0.000584945,0.003486767,0.018202083,0.072748364,0.20320743
755,3.38339E-14,9.53571E-10,4.06268E-06,0.000412376,0.002463906,0.013188537,0.055829468,0.167292429
760,2.72717E-14,7.27739E-10,2.94552E-06,0.00029166,0.001742061,0.009503056,0.042311839,0.135911757
765,2.20444E-14,5.57356E-10,2.14442E-06,0.000206992,0.001233287,0.00682031,0.0317084,0.10893778
770,1.78683E-14,4.28345E-10,1.56758E-06,0.000147431,0.000874747,0.004882318,0.023531421,0.086149082
775,1.45227E-14,3.30317E-10,1.1505E-06,0.000105396,0.000621899,0.003490221,0.017321179,0.067238873
780,1.18349E-14,2.55573E-10,8.47723E-07,7.56294E-05,0.000443333,0.00249417,0.012666618,0.051829764
785,9.66969E-15,1.98389E-10,6.27046E-07,5.44754E-05,0.000316979,0.001783241,0.009216502,0.039495901
790,7.92086E-15,1.54494E-10,4.6558E-07,3.93877E-05,0.000227358,0.001276442,0.006682024,0.029790043
795,6.50463E-15,1.20691E-10,3.46983E-07,2.8587E-05,0.000163617,0.000915243,0.004833174,0.022271035
800,5.35478E-15,9.45747E-11,2.59545E-07,2.08265E-05,0.00011815,0.000657663,0.003491501,0.016527098
