wl,"UVS(355,A1)","SWS(445,A1)","MWS(530,A1)","LWS(570,A1, filter580)","LWS(570,A1, filter600)","LWS(570,A1, filter620)","LWS(570,A1, filter640)","LWS(570,A1, filter660)"
580,6.66514E-10,0.000226422,0.478861078,1,0.797583704,0.306231799,0.029882923,0.000120666
585,4.62866E-10,0.00014396,0.406730077,0.999461176,0.874741404,0.405614478,0.055576106,0.000444934
590,3.23433E-10,9.21451E-05,0.339548213,0.983706368,0.936436,0.515076951,0.095944816,0.00142688
595,2.27368E-10,5.93809E-05,0.278423632,0.953103447,0.978989866,0.628456438,0.15456353,0.004025659
600,1.60778E-10,3.85272E-05,0.224042602,0.908822566,1,0.738268366,0.233477001,0.010096684
605,1.14343E-10,2.51663E-05,0.176743921,0.852770937,0.998601726,0.836653893,0.332186606,0.022728263
610,8.17751E-11,1.65491E-05,0.136575926,0.7874246,0.97551695,0.916430311,0.447032898,0.046324636
615,5.88029E-11,1.09544E-05,0.103328452,0.715586197,0.932879343,0.972009628,0.571224034,0.086180832
620,4.25096E-11,7.29826E-06,0.076552852,0.640118501,0.873886242,1,0.695558259,0.147416255
625,3.08908E-11,4.89346E-06,0.055592794,0.563707009,0.802366442,0.999412426,0.809673993,0.233390395
630,2.25617E-11,3.3016E-06,0.039641345,0.48869083,0.722359699,0.971511273,0.903529675,0.344006093
635,1.65602E-11,2.24126E-06,0.027821428,0.416976593,0.637779163,0.919424282,0.968805658,0.474472252
640,1.22139E-11,1.5306E-06,0.019271062,0.350025734,0.552186527,0.847643976,1,0.615061468
645,9.05099E-12,1.05143E-06,0.013212113,0.28888925,0.468669432,0.761517882,0.995091963,0.752160124
650,6.73812E-12,7.26431E-07,0.008990381,0.234259477,0.389785486,0.66676958,0.955719812,0.870535473
655,5.03893E-12,5.04716E-07,0.006087075,0.186514842,0.317533091,0.569049612,0.886857408,0.956333728
660,3.78486E-12,3.52604E-07,0.004109614,0.145747638,0.253324753,0.473507062,0.796012581,1
665,2.85516E-12,2.47664E-07,0.002771625,0.111780603,0.19796415,0.384399461,0.69204792,0.998226347
670,2.16291E-12,1.74872E-07,0.001869982,0.084188315,0.151649475,0.304796397,0.583836337,0.954301932
675,1.64526E-12,1.24112E-07,0.001263588,0.062338598,0.114028619,0.236445273,0.479046084,0.876811616
680,1.25654E-12,8.8531E-08,0.000855895,0.045458109,0.084314335,0.179836068,0.383327655,0.777244617
685,9.63442E-13,6.34622E-08,0.000581529,0.032712495,0.061441641,0.134440535,0.300035236,0.667402163
690,7.41562E-13,4.57117E-08,0.000396528,0.023283838,0.044232683,0.099048342,0.23043028,0.557383996
695,5.72935E-13,3.30817E-08,0.000271446,0.016430076,0.031535361,0.072107947,0.174183921,0.454526
700,4.44287E-13,2.40522E-08,0.000186599,0.011519311,0.022316646,0.052003364,0.129967484,0.363234298
705,3.45771E-13,1.75664E-08,0.000128834,0.008040503,0.015708872,0.037237691,0.095974975,0.285414238
710,2.70052E-13,1.28864E-08,8.93491E-05,0.005597133,0.011018907,0.026527963,0.070303778,0.221154442
715,2.11644E-13,9.49429E-09,6.22472E-05,0.00389145,0.007714012,0.018833592,0.051186564,0.169414452
720,1.66432E-13,7.02482E-09,4.35642E-05,0.002705485,0.005396659,0.013343998,0.037103512,0.128583729
725,1.31312E-13,5.21929E-09,3.06282E-05,0.001882736,0.003776785,0.009446419,0.026813886,0.096873784
730,1.03941E-13,3.89364E-09,2.16314E-05,0.001312438,0.002646251,0.006687838,0.019341441,0.072558905
735,8.25364E-14,2.91629E-09,1.53464E-05,0.00091701,0.001857524,0.004738812,0.013938348,0.054101859
740,6.57445E-14,2.19281E-09,1.09361E-05,0.000642502,0.001306929,0.003362633,0.010042958,0.04020251
745,5.2529E-14,1.65514E-09,7.82773E-06,0.000451577,0.000922048,0.002390682,0.007239564,0.02980028
750,4.20958E-14,1.25399E-09,5.62723E-06,0.000318462,0.00065248,0.001703565,0.005223791,0.022052461
755,3.38339E-14,9.53571E-10,4.06268E-06,0.000225389,0.000463222,0.001217071,0.003774526,0.016302482
760,2.72717E-14,7.27739E-10,2.94552E-06,0.000160109,0.000329982,0.00087195,0.002732054,0.01204638
765,2.20444E-14,5.57356E-10,2.14442E-06,0.000114168,0.000235895,0.000626557,0.001981461,0.008901737
770,1.78683E-14,4.28345E-10,1.56758E-06,8.17218E-05,0.000169243,0.000451626,0.001440284,0.006580917
775,1.45227E-14,3.30317E-10,1.1505E-06,5.87235E-05,0.000121868,0.000326579,0.001049435,0.004869041
780,1.18349E-14,2.55573E-10,8.47723E-07,4.23612E-05,8.80766E-05,0.00023693,0.000766604,0.003606413
785,9.66969E-15,1.98389E-10,6.27046E-07,3.06762E-05,6.389E-05,0.000172462,0.000561493,0.002674811
790,7.92086E-15,1.54494E-10,4.6558E-07,2.23E-05,4.65161E-05,0.000125957,0.000412397,0.001986968
795,6.50463E-15,1.20691E-10,3.46983E-07,1.62728E-05,3.39911E-05,9.23025E-05,0.000303751,0.001478596
800,5.35478E-15,9.45747E-11,2.59545E-07,1.19195E-05,2.49292E-05,6.78686E-05,0.000224374,0.001102396
