attracted,wavelength,individual,species,date,temperature
1,700,C12,Castiarina_dimidiata,2019_02_05,29.7
1,720,C12,Castiarina_dimidiata,2019_02_05,29.7
0,735,C12,Castiarina_dimidiata,2019_02_05,29.9
1,590,C13,Castiarina_dimidiata,2019_02_05,29.25
1,645,C13,Castiarina_dimidiata,2019_02_05,29.9
1,680,C13,Castiarina_dimidiata,2019_02_05,29.5
1,700,C13,Castiarina_dimidiata,2019_02_05,29.7
0,720,C13,Castiarina_dimidiata,2019_02_05,29.7
0,735,C13,Castiarina_dimidiata,2019_02_05,29.9
1,590,C14,Castiarina_dimidiata,2019_02_05,29.9
0,645,C14,Castiarina_dimidiata,2019_02_05,29.9
1,680,C14,Castiarina_dimidiata,2019_02_05,29.9
0,700,C14,Castiarina_dimidiata,2019_02_05,29.9
0,720,C14,Castiarina_dimidiata,2019_02_05,29.9
0,735,C14,Castiarina_dimidiata,2019_02_05,29.9
1,590,C15,Castiarina_dimidiata,2019_02_05,29.25
1,645,C15,Castiarina_dimidiata,2019_02_05,29.9
1,680,C15,Castiarina_dimidiata,2019_02_05,29.5
1,700,C15,Castiarina_dimidiata,2019_02_05,29.7
1,720,C15,Castiarina_dimidiata,2019_02_05,29.7
0,735,C15,Castiarina_dimidiata,2019_02_05,29.9
1,590,C16,Castiarina_dimidiata,2019_02_06,29.65
0,645,C16,Castiarina_dimidiata,2019_02_06,30
1,680,C16,Castiarina_dimidiata,2019_02_06,29.75
0,700,C16,Castiarina_dimidiata,2019_02_06,30.05
0,720,C16,Castiarina_dimidiata,2019_02_06,29.9
0,735,C16,Castiarina_dimidiata,2019_02_06,30
1,590,C2,Castiarina_dimidiata,2019_02_03,29.25
1,645,C2,Castiarina_dimidiata,2019_02_03,29.9
1,680,C2,Castiarina_dimidiata,2019_02_03,29.55
1,700,C2,Castiarina_dimidiata,2019_02_03,29.75
1,720,C2,Castiarina_dimidiata,2019_02_03,29.85
0,735,C2,Castiarina_dimidiata,2019_02_03,30
1,590,C3,Castiarina_dimidiata,2019_02_03,29.25
1,645,C3,Castiarina_dimidiata,2019_02_03,29.9
1,680,C3,Castiarina_dimidiata,2019_02_03,29.55
0,700,C3,Castiarina_dimidiata,2019_02_03,29.75
1,720,C3,Castiarina_dimidiata,2019_02_03,29.85
0,735,C3,Castiarina_dimidiata,2019_02_03,30
1,590,C4,Castiarina_dimidiata,2019_02_03,29.25
1,645,C4,Castiarina_dimidiata,2019_02_03,29.9
1,680,C4,Castiarina_dimidiata,2019_02_03,29.55
1,700,C4,Castiarina_dimidiata,2019_02_03,29.75
0,720,C4,Castiarina_dimidiata,2019_02_03,29.85
0,735,C4,Castiarina_dimidiata,2019_02_03,30
1,590,C5,Castiarina_dimidiata,2019_02_03,29.25
1,645,C5,Castiarina_dimidiata,2019_02_03,29.9
1,680,C5,Castiarina_dimidiata,2019_02_03,29.55
1,700,C5,Castiarina_dimidiata,2019_02_03,29.75
0,720,C5,Castiarina_dimidiata,2019_02_03,29.85
0,735,C5,Castiarina_dimidiata,2019_02_03,30
1,590,C6,Castiarina_dimidiata,2019_02_04,29.5
1,645,C6,Castiarina_dimidiata,2019_02_04,30.45
1,680,C6,Castiarina_dimidiata,2019_02_04,29.65
1,700,C6,Castiarina_dimidiata,2019_02_04,29.9
1,720,C6,Castiarina_dimidiata,2019_02_04,30.15
0,735,C6,Castiarina_dimidiata,2019_02_04,30.05
1,590,C7,Castiarina_dimidiata,2019_02_04,29.5
1,645,C7,Castiarina_dimidiata,2019_02_04,30.45
0,680,C7,Castiarina_dimidiata,2019_02_04,29.65
0,700,C7,Castiarina_dimidiata,2019_02_04,29.9
0,720,C7,Castiarina_dimidiata,2019_02_04,30.15
0,735,C7,Castiarina_dimidiata,2019_02_04,30.05
1,590,C8,Castiarina_dimidiata,2019_02_04,29.5
1,645,C8,Castiarina_dimidiata,2019_02_04,30.45
