wl,beetle_Stigmodera gratiosa_blue_Splice17_001,beetle_Stigmodera gratiosa_blue_Splice17_002,beetle_Stigmodera gratiosa_blue_Splice17_003,beetle_Cyria imperialis_yellow_Splice17_001,beetle_Cyria imperialis_yellow_Splice17_002,beetle_Cyria imperialis_yellow_Splice17_003,beetle_Castiarina_erythroptera_red_Splice17_001.txt,beetle_Castiarina_erythroptera_red_Splice17_002.txt,beetle_Castiarina_erythroptera_red_Splice17_003.txt,beetle_Temognatha obscuripennis_dark purple_Splice17_001,beetle_Temognatha obscuripennis_dark purple_Splice17_002,beetle_Temognatha obscuripennis_dark purple_Splice17_003,beetle_Melobasis cuprifera_pink_Splice17_001,beetle_Melobasis cuprifera_pink_Splice17_002,beetle_Melobasis cuprifera_pink_Splice17_003,beetle_Merimna atrata_black_Splice17_001,beetle_Merimna atrata_black_Splice17_002,beetle_Merimna atrata_black_Splice17_003,beetle_Melobasis_propinqua_green_green_Splice17_001,beetle_Melobasis_propinqua_green_green_Splice17_002,beetle_Melobasis_propinqua_green_green_Splice17_003,beetle_Pseudotaenia gigas_green_Splice17_001,beetle_Pseudotaenia gigas_green_Splice17_002,beetle_Pseudotaenia gigas_green_Splice17_003
625,2.55678487,2.63678487,3.415177305,37.66286052,38.69607565,41.32446809,19.94043478,17.84652174,18.12826087,6.478392435,6.29,5.97,25.43231678,25.95910165,28.26231678,4.79,4.51,4.48,12.50160757,10.63643026,11.91643026,9.79749409,17.0578487,13.85427896
630,2.45,2.500236407,3.180236407,38.49834515,39.64834515,42.28834515,20.87913043,18.51695652,18.79608696,6.47,6.3,5.950236407,24.07283688,24.46283688,26.75307329,4.79,4.48,4.46,12.86858156,11.23834515,12.51834515,8.292600473,14.94378251,12.10307329
635,2.401919431,2.36,2.981919431,39.39464455,40.60272512,43.27080569,21.70791667,19.12875,19.39666667,6.44,6.28,5.941919431,22.63495261,22.86879147,25.14879147,4.778080569,4.49,4.458080569,13.56464455,12.08272512,13.44272512,7.029194313,13.12687204,10.63111374
640,2.373436019,2.32,2.893436019,40.32938389,41.61251185,44.27251185,22.55,19.76791667,20.04,6.46,6.316563981,5.96,21.18466825,21.32466825,23.51810427,4.78,4.483436019,4.45,14.68220379,13.21220379,14.64876777,6.064052133,11.62123223,9.460924171
645,2.345225653,2.264774347,2.8,41.23180523,42.58657957,45.24657957,23.37625,20.39958333,20.68875,6.475225653,6.365225653,5.99,19.74729216,19.78684086,21.92206651,4.79,4.48,4.44,16.11793349,14.52793349,16.16315914,5.359097387,10.45819477,8.563420428
650,2.338123515,2.264061758,2.77,42.0684323,43.54249406,46.24249406,24.18916667,21.03625,21.3475,6.51,6.43,6.02,18.29125891,18.25125891,20.28125891,4.78,4.47,4.444061758,17.92904988,16.13686461,17.96092637,4.873752969,9.521567696,7.919691211
655,2.39,2.28,2.78,42.9815,44.49457143,47.18457143,24.94708333,21.66791667,21.98958333,6.583071429,6.523071429,6.073071429,16.85314286,16.78314286,18.74007143,4.81,4.48,4.44,20.03835714,17.87914286,19.96221429,4.593857143,8.907714286,7.500785714
660,2.4,2.3,2.79,43.75794749,45.38346062,48.10794749,25.63666667,22.25916667,22.58666667,6.64,6.61,6.15,15.4853222,15.4353222,17.2753222,4.8,4.47,4.43,22.40711217,19.72813842,22.10038186,4.447756563,8.47326969,7.265513126
665,2.44,2.32,2.8,44.59801435,46.26282297,48.99282297,26.30125,22.81833333,23.16666667,6.691602871,6.721602871,6.181602871,14.21397129,14.15236842,15.87076555,4.77,4.431602871,4.441602871,24.94526316,21.63564593,24.33885167,4.44,8.266794258,7.17
670,2.48,2.378851675,2.84,45.35688995,47.14803828,49.86803828,26.94208333,23.3725,23.72375,6.802296651,6.861148325,6.291148325,13.00851675,12.96966507,14.54736842,4.83,4.47,4.441148325,27.56526316,23.51722488,26.56066986,4.532296651,8.188851675,7.211148325
675,2.509138756,2.41,2.87,46.11516746,47.96602871,50.67602871,27.55125,23.91375,24.26125,6.920861244,7.010861244,6.420861244,11.8722488,11.8822488,13.29138756,4.840861244,4.46,4.45,30.16808612,25.32291866,28.74464115,4.670861244,8.190861244,7.290861244
680,2.53,2.42,2.9,46.84521635,48.69521635,51.45521635,28.13916667,24.41833333,24.79541667,7.041490385,7.220745192,6.521490385,10.87478365,10.94478365,12.18403846,4.84,4.47,4.440745192,32.67490385,27.0396875,30.75192308,4.851490385,8.261490385,7.431490385
685,2.551634615,2.45,2.91,47.51490385,49.49490385,52.18572115,28.71416667,24.90958333,25.31708333,7.201634615,7.391634615,6.701634615,9.953461538,10.09346154,11.19346154,4.84,4.49,4.44,35.02552885,28.58980769,32.61144231,5.051634615,8.381634615,7.591634615
690,2.598918269,2.48,2.948918269,48.17649038,50.17649038,52.91649038,29.25291667,25.39083333,25.81375,7.373245192,7.621081731,6.872163462,9.202427885,9.413509615,10.31134615,4.88,4.498918269,4.47,37.08838942,29.92081731,34.20298077,5.241081731,8.501081731,7.701081731
695,2.601518072,2.511518072,2.941518072,48.79759036,50.88910843,53.53910843,29.76166667,25.86875,26.30166667,7.571518072,7.861518072,7.051518072,8.540891566,8.843927711,9.599373494,4.86,4.49,4.461518072,38.88973494,30.99214458,35.55366265,5.381518072,8.601518072,7.851518072
700,2.642125604,2.542125604,2.99,49.35275362,51.53275362,54.20487923,30.26291667,26.34333333,26.78625,7.796376812,8.136376812,7.266376812,7.971497585,8.353623188,8.931497585,4.842125604,4.5,4.46,40.41550725,31.86487923,36.64700483,5.546376812,8.702125604,7.972125604
705,2.66,2.542929782,2.99,49.91171913,52.14464891,54.81171913,30.745,26.78625,27.26333333,8.005859564,8.448789346,7.448789346,7.541210654,8.021210654,8.458280872,4.872929782,4.512929782,4.472929782,41.62929782,32.54464891,37.48343826,5.64,8.75,8.012929782
710,2.683922518,2.593922518,3.003922518,50.46784504,52.73961259,55.40569007,31.21833333,27.23625,27.72083333,8.257845036,8.761767554,7.713922518,7.206077482,7.786077482,8.108232446,4.886077482,4.536077482,4.506077482,42.52138015,32.93176755,38.02961259,5.75,8.783922518,8.07
715,2.729805825,2.62,3.014902913,51.00548544,53.32058252,55.96548544,31.68875,27.68458333,28.15125,8.545291262,9.12038835,7.985291262,6.999805825,7.594902913,7.809805825,4.915097087,4.545097087,4.515097087,43.15548544,33.17509709,38.37019417,5.81,8.775097087,8.100194175
720,2.77,2.66,3.063543689,51.49228155,53.83936893,56.49873786,32.14,28.10875,28.575,8.832912621,9.479368932,8.309368932,6.837087379,7.457087379,7.617087379,4.94,4.567087379,4.533543689,43.42291262,33.14354369,38.44645631,5.93,8.826456311,8.166456311
725,2.77,2.658004866,3.068004866,52.01201946,54.34201946,57.02002433,32.54833333,28.5225,29.00125,9.184014599,9.862019465,8.574014599,6.73,7.411995134,7.51,4.921995134,4.591995134,4.551995134,43.44399027,32.98399027,38.2359854,5.97,8.768004866,8.16
730,2.83,2.709756098,3.1,52.41902439,54.85878049,57.50926829,32.9856,28.9796,29.4516,9.509756098,10.27926829,8.919512195,6.699756098,7.389756098,7.47,4.95,4.62,4.57,43.25073171,32.6604878,37.90073171,6.009756098,8.78,8.189756098
735,2.901682927,2.79,3.16,52.96009756,55.40009756,58.06009756,33.436,29.438,29.8672,9.89504878,10.75504878,9.29504878,6.701682927,7.411682927,7.481682927,4.953365854,4.631682927,4.593365854,42.90495122,32.14990244,37.41495122,6.07,8.8,8.191682927
740,2.943814181,2.8,3.19,53.46144254,55.84525672,58.5790709,33.88208333,29.86416667,30.29541667,10.29144254,11.22525672,9.677628362,6.723814181,7.423814181,7.523814181,5.023814181,4.63,4.593814181,42.33711491,31.53711491,36.79330073,6.153814181,8.856185819,8.253814181
745,3.016127451,2.866127451,3.25,53.81838235,56.2922549,58.9322549,34.25625,30.23,30.69708333,10.6945098,11.68063725,10.0645098,6.736127451,7.43,7.55,5.026127451,4.7,4.66,41.39485294,30.78323529,35.84710784,6.186127451,8.83,8.263872549
750,3.08,2.891372549,3.281372549,54.1072549,56.6445098,59.2672549,34.6068,30.598,31.1016,11.1445098,12.20313725,10.5045098,6.75,7.431372549,7.62,5.078627451,4.7,4.668627451,40.28372549,29.86098039,34.78235294,6.301372549,8.88,8.308627451
755,3.17,3,3.36,54.4527027,56.97,59.60405405,34.9336,30.952,31.4588,11.56540541,12.71675676,10.87675676,6.82,7.458648649,7.65,5.121351351,4.781351351,4.711351351,39.13783784,28.85918919,33.67918919,6.372702703,8.932702703,8.392702703
760,3.26,3.104250614,3.46,54.74700246,57.32700246,59.90700246,35.27166667,31.32708333,31.76875,12.03125307,13.25700246,11.37700246,6.814250614,7.48,7.7,5.16,4.824250614,4.75,37.88899263,27.80599509,32.51749386,6.484250614,9.004250614,8.514250614
765,3.357339901,3.227339901,3.577339901,55.1220197,57.63,60.2446798,35.6256,31.698,32.112,12.51935961,13.86669951,11.82935961,6.857339901,7.46,7.727339901,5.2,4.82,4.782660099,36.42458128,26.59660099,31.16926108,6.587339901,9.15,8.612660099
770,3.471925926,3.310641975,3.73,55.4625679,57.98192593,60.54192593,35.9776,32.0456,32.4688,13.0225679,14.4225679,12.35128395,6.820641975,7.45,7.77,5.210641975,4.840641975,4.83,34.8822963,25.38293827,29.7422963,6.78,9.300641975,8.781283951
775,3.58,3.394148148,3.82,55.8082963,58.33414815,60.88244444,36.31208333,32.38583333,32.80166667,13.58074074,15.02488889,12.84074074,6.781703704,7.38,7.715851852,5.264148148,4.91,4.824148148,33.25192593,24.08022222,28.23607407,6.898296296,9.43,8.904148148
780,3.707846535,3.55,3.957846535,56.0935396,58.56784653,61.15569307,36.5952,32.6944,33.1144,14.11923267,15.68707921,13.38707921,6.84,7.38,7.76,5.347846535,4.985693069,4.917846535,31.57230198,22.79368812,26.73799505,7.077846535,9.54,9.045693069
785,3.86528536,3.703523573,4.103523573,56.41352357,58.87352357,61.42,36.8728,32.992,33.4236,14.66880893,16.33057072,13.91057072,6.78,7.328238213,7.72,5.391761787,5.031761787,5.003523573,29.7735732,21.39062035,25.10238213,7.283523573,9.721761787,9.221761787
790,3.995856079,3.835856079,4.254143921,56.80756824,59.25756824,61.79171216,37.1636,33.3232,33.7528,15.2692804,16.98513648,14.49513648,6.794143921,7.334143921,7.714143921,5.47,5.05,5.065856079,27.94801489,20.04972705,23.54558313,7.44,9.94,9.415856079
795,4.190174129,4.010174129,4.450174129,57.02034826,59.5,62.11034826,37.4472,33.6108,34.0308,15.92087065,17.69121891,15.08087065,6.780348259,7.3,7.659825871,5.529651741,5.119825871,5.05,26.14756219,18.69808458,21.94808458,7.670174129,10.11017413,9.590348259
800,4.38,4.184064838,4.66,57.36468828,59.82937656,62.43468828,37.73916667,33.90791667,34.31458333,16.50281796,18.31281796,15.6434414,6.76,7.265311721,7.655311721,5.599376559,5.17,5.12,24.41905237,17.36780549,20.40374065,7.859376559,10.29937656,9.769376559
